"age_band","gender","attrition","pct"
"25 - 34","Male",69,29.11
"25 - 34","Female",43,18.14
"35 - 44","Male",37,15.61
"35 - 44","Female",14,5.91
"45 - 54","Male",16,6.75
"45 - 54","Female",9,3.80
"Over 55","Male",8,3.38
"Over 55","Female",3,1.27
"Under 25","Male",20,8.44
"Under 25","Female",18,7.59
